image_name,width,height,non_zero,suhu_air,ph_air,tds
20201013-090006,126,141,6017,25.9,7,193.7
20201014-090006,150,122,5076,25.9,7.2,189.8
20201015-090006,82,131,3905,25.9,7.3,191.9
20201015-170006,82,128,4075,25.9,7,193.7
20201016-090006,93,129,4713,25.9,7.3,186.3
20201016-170006,92,128,4327,25.9,6.8,197.4
20201017-090005,118,129,5672,25.9,7.1,193.7
20201017-170006,101,130,5306,25.8,7.3,190.2
20201018-090006,157,125,5450,25.9,7.5,197.4
20201018-170005,153,125,5018,25.9,7,186.3
20201019-090006,148,124,5374,25.9,7.5,190
20201020-090006,163,134,6916,25.9,6.8,191.9
20201020-170006,146,120,5531,25.9,6.9,190
20201021-090005,155,129,6311,25.9,7.6,186.1
20201021-170005,147,123,5217,25.9,7.1,186.1
20201022-090006,150,125,6293,26,6.6,189.5
20201022-170006,144,125,5836,26,6.9,189.5
20201023-090005,143,125,6151,26.1,7.6,191.2
20201023-170005,144,125,5985,26.1,6.5,191.2
20201024-090006,142,127,6240,26.1,6.7,187.4
20201025-090005,142,124,6291,26.1,7.1,190.9
20201026-090005,145,130,6582,26.1,6.7,185.4
20201026-170005,143,127,6514,26.1,7.2,181.7
20201027-090006,138,116,4975,26.2,7,187
20201027-170006,138,128,6600,26.3,6.7,184.9
20201028-090005,138,127,7068,26.3,7,186.5
20201028-170005,134,128,6851,26.3,7,184.7
20201029-090005,130,124,7060,26.4,6.8,188.2
20201029-170005,136,124,7037,26.4,7.5,189.8
20201030-090006,135,129,7334,26.4,7.1,184.2
20201031-090005,138,132,7828,26.4,7.3,184.2
20201031-170005,137,133,8091,26.5,7,182.2
